Zipcode,City,State,Grow Zone,Airport Code
07675,WESTWOOD,NJ,7-8
07677,WOODCLIFF LAKE,NJ,7-8
07885,WHARTON,NJ,7
07981,WHIPPANY,NJ,7
07999,WHIPPANY,NJ,7
08889,WHITEHOUSE STATION,NJ,7
07095,WOODBRIDGE,NJ,7
07481,WYCKOFF,NJ,7-8
10451,BRONX,NY,7-8
10452,BRONX,NY,7-8
10453,BRONX,NY,7-8
10454,BRONX,NY,7-8
10455,BRONX,NY,7-8
10456,BRONX,NY,7-8
10457,BRONX,NY,7-8
10458,BRONX,NY,7-8
10459,BRONX,NY,7-8
10460,BRONX,NY,7-8
10461,BRONX,NY,7-8
10462,BRONX,NY,7-8
10463,BRONX,NY,7-8
10464,BRONX,NY,7-8
10465,BRONX,NY,7-8
10466,BRONX,NY,7-8
10467,BRONX,NY,7-8
10468,BRONX,NY,7-8
10469,BRONX,NY,7-8
10470,BRONX,NY,7-8
10471,BRONX,NY,7-8
10472,BRONX,NY,7-8
10473,BRONX,NY,7-8
10474,BRONX,NY,7-8
10475,BRONX,NY,7-8
10001,NEW YORK,NY,7-8,KZNY
10002,NEW YORK,NY,7-8,KZNY
10003,NEW YORK,NY,7-8,KZNY
10004,NEW YORK,NY,7-8,KZNY
10005,NEW YORK,NY,7-8,KZNY
10006,NEW YORK,NY,7-8,KZNY
10007,NEW YORK,NY,7-8,KZNY
10009,NEW YORK,NY,7-8,KZNY
10010,NEW YORK,NY,7-8,KZNY
10011,NEW YORK,NY,7-8,KZNY
10012,NEW YORK,NY,7-8,KZNY
10013,NEW YORK,NY,7-8,KZNY
10014,NEW YORK,NY,7-8,KZNY
10016,NEW YORK,NY,7-8,KZNY
10017,NEW YORK,NY,7-8,KZNY
10018,NEW YORK,NY,7-8,KZNY
10019,NEW YORK,NY,7-8,KZNY
10020,NEW YORK,NY,7-8,KZNY
10021,NEW YORK,NY,7-8,KZNY
10022,NEW YORK,NY,7-8,KZNY
10023,NEW YORK,NY,7-8,KZNY
10024,NEW YORK,NY,7-8,KZNY
10025,NEW YORK,NY,7-8,KZNY
10026,NEW YORK,NY,7-8,KZNY
10027,NEW YORK,NY,7-8,KZNY
10028,NEW YORK,NY,7-8,KZNY
10029,NEW YORK,NY,7-8,KZNY
10030,NEW YORK,NY,7-8,KZNY
10031,NEW YORK,NY,7-8,KZNY
10032,NEW YORK,NY,7-8,KZNY
10033,NEW YORK,NY,7-8,KZNY
10034,NEW YORK,NY,7-8,KZNY
02478,BELMONT,MA,6-7
02445,BROOKLINE,MA,6-7
02446,BROOKLINE,MA,6-7
02420,LEXINGTON,MA,6-7
02421,LEXINGTON,MA,6-7
02492,NEEDHAM,MA,6-7
02494,NEEDHAM HEIGHTS,MA,6-7
02458,NEWTON,MA,6-7
02459,NEWTON CENTER,MA,6-7
02460,NEWTONVILLE,MA,6-7
02461,NEWTON HIGHLANDS,MA,6-7
02462,NEWTON LOWER FALLS,MA,6-7
02464,NEWTON UPPER FALLS,MA,6-7
02465,WEST NEWTON,MA,6-7
02466,AUBURNDALE,MA,6-7
02467,CHESTNUT HILL,MA,6-7
02468,WABAN,MA,6-7
02451,WALTHAM,MA,6-7
02452,WALTHAM,MA,6-7
02453,WALTHAM,MA,6-7
02472,WATERTOWN,MA,6-7
02481,WELLESLEY HILLS,MA,6-7
02482,WELLESLEY,MA,6-7
02493,WESTON,MA,6-7
02184,BRAINTREE,MA,6-7
02186,MILTON,MA,6-7
02169,QUINCY,MA,6-7
02170,QUINCY,MA,6-7
02171,QUINCY,MA,6-7
02188,WEYMOUTH,MA,6-7
02189,EAST WEYMOUTH,MA,6-7
02190,SOUTH WEYMOUTH,MA,6-7,KNZW
02191,NORTH WEYMOUTH,MA,6-7
01718,VILLAGE OF NAGOG WOODS,MA,6
01719,BOXBOROUGH,MA,6
01720,ACTON,MA,6
02474,ARLINGTON,MA,6-7
02476,ARLINGTON,MA,6-7
02150,CHELSEA,MA,6-7
02149,EVERETT,MA,6-7
02152,WINTHROP,MA,6-7
02151,REVERE,MA,6-7
02148,MALDEN,MA,6-7
02176,MELROSE,MA,6-7
02155,MEDFORD,MA,6-7
02143,SOMERVILLE,MA,6-7
02144,SOMERVILLE,MA,6-7
02145,SOMERVILLE,MA,6-7
02180,STONEHAM,MA,6-7
01913,AMESBURY,MA,6
01810,ANDOVER,MA,6
02054,MILLIS,MA,6-7
01529,MILLVILLE,MA,6
02554,NANTUCKET,MA,7,KACK
01760,NATICK,MA,6-7
01531,NEW BRAINTREE,MA,5-6
01950,NEWBURYPORT,MA,6,K2B2
01951,NEWBURY,MA,6,K2B2
01952,SALISBURY,MA,6
02056,NORFOLK,MA,6-7
02351,ABINGTON,MA,6-7
01862,NORTH BILLERICA,MA,6
01532,NORTHBOROUGH,MA,6
01534,NORTHBRIDGE,MA,6
